workload,function,version,elapsed time,perf_thread_page_fault,perf_thread_cache_misses,perf_thread_instructions
700,display,3,54167,0,353,3454
700,display,3,142326,0,442,3456
700,display,3,161573,0,472,3458
700,display,3,192325,0,528,3453
700,display,3,137548,0,442,3456
700,display,3,147248,0,434,3451
700,display,3,104246,0,409,3455
700,display,3,269800,0,472,3454
700,display,3,233641,0,469,3456
700,display,3,288348,0,718,3606
700,display,3,123432,0,471,3456
700,display,3,119566,0,468,3456
700,display,3,244092,0,490,3460
700,display,3,149869,0,428,3456
700,display,3,205311,0,412,3456
700,display,3,327164,0,615,3610
700,display,3,144343,0,465,3456
700,display,3,136473,0,432,3460
700,display,3,144635,0,448,3456
700,display,3,135309,0,434,3454
700,display,3,147352,0,444,3458
700,display,3,176036,0,457,3456
700,display,3,236238,0,505,3460
700,display,3,149113,0,450,3458
700,display,3,146407,0,430,3454
700,display,3,97105,0,539,3456
700,display,3,139610,0,426,3456
700,display,3,190747,0,462,3456
700,display,3,147414,0,427,3456
700,display,3,142470,0,454,3458
700,display,3,136474,0,315,3449
700,display,3,185711,0,473,3456
700,display,3,243513,0,619,3612
700,display,3,248701,0,460,3460
700,display,3,186759,0,588,3601
700,display,3,142684,0,465,3456
700,display,3,148339,0,341,3455
700,display,3,218293,0,734,3559
700,display,3,181658,0,466,3460
700,display,3,128380,0,433,3454
700,display,3,186993,0,478,3454
700,display,3,181585,0,482,3454
700,display,3,166182,0,374,3451
700,display,3,138648,0,343,3455
700,display,3,163958,0,481,3456
700,display,3,169954,0,432,3456
700,display,3,252999,0,510,3454
700,display,3,160503,0,464,3455
700,display,3,181471,0,450,3454
700,display,3,200858,0,579,3606
700,display,3,113467,0,437,3458
700,display,3,168427,0,487,3456
700,display,3,141783,0,458,3455
700,display,3,197292,0,473,3461
700,display,3,576241,0,445,3456
700,display,3,159783,0,439,3460
700,display,3,143855,0,430,3460
700,display,3,113603,0,467,3460
700,display,3,142066,0,426,3456
700,display,3,164215,0,486,3456
700,display,3,143280,0,439,3460
700,display,3,100372,0,404,3457
700,display,3,164979,0,505,3456
700,display,3,165631,0,514,3456
700,display,3,210440,0,688,3606
700,display,3,144940,0,463,3455
700,display,3,196225,0,471,3460
700,display,3,196428,0,465,3460
700,display,3,281175,0,520,3456
700,display,3,135904,0,482,3460
700,display,3,139886,0,453,3460
700,display,3,232422,0,396,3455
700,display,3,168211,0,477,3455
700,display,3,146322,0,429,3456
700,display,3,136136,0,439,3456
700,display,3,225729,0,470,3454
700,display,3,109114,0,459,3456
700,display,3,193569,0,505,3456
700,display,3,161652,0,454,3460
700,display,3,141330,0,472,3456
700,display,3,167627,0,482,3456
700,display,3,151136,0,443,3455
700,display,3,190052,0,469,3456
700,display,3,125116,0,425,3456
700,display,3,193246,0,482,3454
700,display,3,147986,0,450,3456
700,display,3,206413,0,349,3455
700,display,3,229871,0,455,3456
700,display,3,145614,0,468,3458
700,display,3,151760,0,454,3456
700,display,3,94289,0,455,3455
700,display,3,162019,0,459,3456
700,display,3,181530,0,490,3458
700,display,3,168944,0,481,3456
700,display,3,233937,0,490,3454
700,display,3,195934,0,548,3460
700,display,3,145768,0,431,3456
700,display,3,227689,0,457,3453
700,display,3,180774,0,481,3456
700,display,3,136125,0,443,3456
700,display,3,129510,0,424,3456
700,display,3,207163,0,464,3451
700,display,3,222443,0,426,3460
700,display,3,618901,0,534,3451
700,display,3,226387,0,586,3605
700,display,3,461476,0,491,3456
700,display,3,168795,0,491,3460
700,display,3,167675,0,463,3456
700,display,3,189909,0,496,3454
700,display,3,298475,0,495,3460
700,display,3,206875,0,481,3458
700,display,3,182456,0,439,3454
700,display,3,223978,0,489,3461
700,display,3,168171,0,433,3456
700,display,3,225750,0,464,3455
700,display,3,192598,0,443,3454
700,display,3,171683,0,495,3458
700,display,3,164303,0,415,3455
700,display,3,159528,0,471,3456
700,display,3,137617,0,472,3456
700,display,3,154037,0,456,3454
700,display,3,136072,0,427,3456
700,display,3,165620,0,462,3446
700,display,3,191391,0,454,3446
700,display,3,213880,0,565,3456
700,display,3,167953,0,447,3458
700,display,3,158104,0,290,3456
700,display,3,149027,0,452,3456
700,display,3,191045,0,596,3610
700,display,3,142424,0,457,3456
700,display,3,146981,0,446,3454
700,display,3,232059,0,455,3456
700,display,3,200906,0,368,3455
700,display,3,124285,0,560,3449
700,display,3,554466,0,451,3456
700,display,3,182434,0,491,3460
700,display,3,158378,0,507,3460
700,display,3,190115,0,371,3455
700,display,3,145773,0,462,3456
700,display,3,227817,0,511,3456
700,display,3,157698,0,422,3454
700,display,3,155053,0,311,3446
700,display,3,834886,0,445,3454
700,display,3,317791,0,466,3456
700,display,3,149712,0,419,3455
700,display,3,116003,0,447,3449
700,display,3,176680,0,474,3456
700,display,3,153776,0,477,3454
700,display,3,109978,0,423,3456
700,display,3,134282,0,436,3460
700,display,3,117786,0,437,3456
700,display,3,201823,0,340,3456
700,display,3,141806,0,430,3454
700,display,3,131613,0,418,3456
700,display,3,178274,0,373,3456
700,display,3,142724,0,470,3456
700,display,3,132509,0,474,3448
700,display,3,117040,0,438,3456
700,display,3,151735,0,417,3454
700,display,3,136652,0,437,3456
700,display,3,136608,0,423,3454
700,display,3,198789,0,445,3456
700,display,3,146553,0,454,3460
700,display,3,152466,0,439,3454
700,display,3,166222,0,465,3453
700,display,3,224156,0,431,3456
700,display,3,122330,0,470,3460
700,display,3,145695,0,442,3460
700,display,3,140408,0,412,3455
700,display,3,135758,0,463,3456
700,display,3,146238,0,458,3454
700,display,3,188402,0,354,3455
700,display,3,153927,0,431,3456
700,display,3,148976,0,423,3458
700,display,3,312494,0,455,3407
700,display,3,137217,0,301,3455
700,display,3,207223,0,515,3454
700,display,3,141765,0,448,3456
700,display,3,180742,0,478,3459
700,display,3,241800,0,471,3456
700,display,3,129654,0,432,3460
700,display,3,126551,0,445,3460
700,display,3,168902,0,463,3460
700,display,3,189882,0,423,3458
700,display,3,241884,0,534,3455
700,display,3,123585,0,428,3455
700,display,3,514399,0,453,3456
700,display,3,318849,0,479,3454
700,display,3,203070,0,358,3460
700,display,3,167320,0,487,3456
700,display,3,87311,0,306,3456
700,display,3,142840,0,577,3612
700,display,3,180692,0,477,3455
700,display,3,145450,0,453,3454
700,display,3,147049,0,457,3449
700,display,3,180106,0,453,3456
700,display,3,138207,0,444,3460
700,display,3,129677,0,466,3460
700,display,3,131968,0,492,3455
700,display,3,176432,0,494,3460
700,display,3,147595,0,469,3456
700,display,3,232183,0,456,3456
700,display,3,202119,0,487,3456
700,display,3,231047,0,426,3460
700,display,3,116004,0,375,3456
700,display,3,114197,0,435,3455
700,display,3,169720,0,472,3455
700,display,3,146605,0,324,3455
700,display,3,148008,0,490,3456
700,display,3,174875,0,426,3454
700,display,3,137373,0,441,3458
700,display,3,141308,0,414,3456
700,display,3,148411,0,326,3455
700,display,3,185687,0,373,3455
700,display,3,146019,0,466,3458
700,display,3,174305,0,450,3454
700,display,3,240182,0,464,3454
700,display,3,202729,0,452,3456
700,display,3,123304,0,495,3456
700,display,3,153374,0,492,3454
700,display,3,149030,0,474,3456
700,display,3,179332,0,456,3454
700,display,3,131241,0,439,3456
700,display,3,189328,0,381,3434
700,display,3,116524,0,441,3460
700,display,3,127075,0,407,3454
700,display,3,160593,0,433,3456
700,display,3,196978,0,557,3456
700,display,3,243859,0,474,3455
700,display,3,179170,0,468,3456
700,display,3,127738,0,445,3456
700,display,3,183293,0,498,3456
700,display,3,109237,0,414,3460
700,display,3,166841,0,441,3456
700,display,3,228604,0,492,3455
700,display,3,118992,0,445,3450
700,display,3,136547,0,453,3460
700,display,3,146424,0,439,3458
700,display,3,138962,0,445,3456
700,display,3,178207,0,580,3612
700,display,3,173782,0,499,3456
700,display,3,181331,0,504,3456
700,display,3,163009,0,488,3456
700,display,3,244666,0,459,3455
700,display,3,150019,0,468,3449
700,display,3,140222,0,473,3455
700,display,3,164041,0,434,3456
700,display,3,224630,0,476,3451
700,display,3,145227,0,424,3460
700,display,3,166825,0,468,3458
700,display,3,159368,0,457,3458
700,display,3,157313,0,428,3458
700,display,3,154385,0,463,3458
700,display,3,195625,0,381,3457
700,display,3,186987,0,486,3458
700,display,3,452474,0,341,3456
700,display,3,141870,0,425,3460
700,display,3,158488,0,492,3456
700,display,3,125517,0,439,3456
700,display,3,179585,0,472,3460
700,display,3,168874,0,616,3612
700,display,3,517346,0,427,3454
700,display,3,176408,0,379,3455
700,display,3,196701,0,578,3603
700,display,3,197308,0,439,3456
700,display,3,216166,0,460,3454
700,display,3,110987,0,459,3456
700,display,3,199899,0,503,3456
700,display,3,140154,0,472,3456
700,display,3,179585,0,439,3458
700,display,3,221952,0,491,3455
700,display,3,181141,0,468,3454
700,display,3,164912,0,461,3456
700,display,3,130776,0,522,3451
700,display,3,132858,0,444,3456
700,display,3,172524,0,469,3454
