workload,function,version,elapsed+AF8-time,perf+AF8-thread+AF8-page+AF8-fault,perf+AF8-thread+AF8-cache+AF8-misses,perf+AF8-thread+AF8-instructions,perf:thread:cpu+AC0-cycles,perf:thread:cycles,perf:thread:context+AC0-switches
100,face,3,168948,0,775,6985,30538,0,0
100,face,3,246819,0,977,7010,33744,0,0
100,face,3,180068,0,696,6972,29632,0,0
100,face,3,213655,0,804,7011,32044,0,0
100,face,3,175299,0,725,6974,28856,0,0
200,face,3,189285,0,740,6984,31443,0,0
200,face,3,188201,0,724,6972,28684,0,0
200,face,3,147813,0,697,6970,29895,0,0
200,face,3,194231,0,750,6986,32462,0,0
300,face,3,188456,0,752,6974,31023,0,0
300,face,3,179270,0,751,7023,33230,0,0
300,face,3,180728,0,732,6984,30836,0,0
300,face,3,195595,0,777,7023,32481,0,0
300,face,3,187150,0,753,7050,32010,0,0
400,face,3,155573,0,896,7011,33671,0,0
400,face,3,180228,0,943,6971,37404,0,0
400,face,3,209306,0,833,6988,30028,0,0
400,face,3,197516,0,819,6976,31856,0,0
400,face,3,189561,0,620,7011,26938,0,0
500,face,3,188841,0,696,6986,29065,0,0
500,face,3,172917,0,707,6974,29332,0,0
500,face,3,194612,0,755,7011,30223,0,0
500,face,3,181532,0,732,6986,30627,0,0
500,face,3,164802,0,697,6970,27630,0,0
600,face,3,185776,0,621,7010,25099,0,0
600,face,3,183570,0,763,6990,29809,0,0
600,face,3,186073,0,755,7016,32714,0,0
600,face,3,209046,0,779,7009,31171,0,0
700,face,3,205648,0,762,6984,35137,0,0
700,face,3,126476,0,685,6970,34291,0,0
700,face,3,189855,0,690,6970,31247,0,0
700,face,3,207132,0,786,6984,30988,0,0
700,face,3,189010,0,745,7013,32030,0,0
800,face,3,157976,0,701,6969,32016,0,0
800,face,3,198342,0,773,6970,30092,0,0
800,face,3,210277,0,754,6972,29955,0,0
800,face,3,187085,0,743,6986,30699,0,0
800,face,3,139977,0,716,6972,30673,0,0
900,face,3,169862,0,689,6972,29879,0,0
900,face,3,188303,0,837,6970,32781,0,0
900,face,3,182069,0,729,6984,30206,0,0
900,face,3,180217,0,728,6972,31014,0,0
900,face,3,188141,0,766,7029,30523,0,0
1000,face,3,144012,0,752,6972,31714,0,0
1000,face,3,212818,0,840,7009,29807,0,0
1000,face,3,208631,0,763,6972,32078,0,0
1000,face,3,962253,0,826,6976,40371,0,0
1000,face,3,205733,0,614,6988,29930,0,0
