workload,function,version,elapsed+AF8-time,perf+AF8-thread+AF8-page+AF8-fault,perf+AF8-thread+AF8-cache+AF8-misses,perf+AF8-thread+AF8-instructions,perf:thread:cpu+AC0-cycles,perf:thread:cycles,perf:thread:context+AC0-switches
100,face,3,311734,0,1290,12159,64427,0,0
100,face,3,337207,0,1344,12219,63994,0,0
100,face,3,307952,0,1291,12168,64839,0,0
100,face,3,333003,0,1308,12207,67405,0,0
100,face,3,346962,0,1335,12164,62767,0,0
100,face,3,316877,0,1275,12166,62252,0,0
100,face,3,332106,0,1298,12110,62488,0,0
100,face,3,320733,0,1318,12217,66516,0,0
100,face,3,363764,0,1479,12244,72089,0,0
100,face,3,955704,0,1303,12054,72832,0,0
200,face,3,186638,0,1345,12111,58527,0,0
200,face,3,223475,0,1400,12110,66877,0,0
200,face,3,350610,0,1313,12189,76408,0,0
200,face,3,442521,0,1546,12346,107231,0,0
200,face,3,368989,0,1369,12204,71608,0,0
200,face,3,310318,0,1296,12163,63707,0,0
200,face,3,333455,0,1046,12243,52907,0,0
200,face,3,473674,0,1604,12105,70898,0,0
200,face,3,296036,0,1268,12165,62581,0,0
300,face,3,318965,0,1078,12282,55001,0,0
300,face,3,323477,0,1312,12043,70461,0,0
300,face,3,339575,0,1398,12243,68882,0,0
300,face,3,282409,0,1313,12189,63806,0,0
300,face,3,336933,0,1308,12166,66381,0,0
300,face,3,320348,0,1311,12171,65656,0,0
300,face,3,292247,0,1275,12193,64060,0,0
300,face,3,366156,0,1849,12206,70563,0,0
300,face,3,359851,0,1338,12203,68446,0,0
300,face,3,360803,0,1320,12152,60424,0,0
400,face,3,304948,0,1049,12014,52248,0,0
400,face,3,353546,0,1390,12215,63374,0,0
400,face,3,302075,0,1230,12156,62903,0,0
400,face,3,449617,0,1297,12000,58384,0,0
400,face,3,328546,0,1327,12192,75149,0,0
400,face,3,298200,0,1223,12105,62458,0,0
400,face,3,333350,0,1070,12268,54546,0,0
400,face,3,282369,0,1167,12112,59911,0,0
400,face,3,310892,0,1038,12190,55059,0,0
500,face,3,319694,0,1294,12124,61244,0,0
500,face,3,300081,0,1253,12150,57338,0,0
500,face,3,285679,0,1310,12230,63338,0,0
500,face,3,281894,0,1345,12150,64191,0,0
500,face,3,371727,0,1386,12285,72004,0,0
500,face,3,310944,0,1317,12152,60995,0,0
500,face,3,293113,0,1282,12152,62185,0,0
500,face,3,295552,0,1041,12150,53339,0,0
500,face,3,312974,0,1058,12189,55479,0,0
500,face,3,285468,0,1245,12112,59026,0,0
600,face,3,394049,0,1517,12262,101901,0,0
600,face,3,266611,0,1258,12126,62519,0,0
600,face,3,286233,0,1053,12125,51582,0,0
600,face,3,261766,0,1275,12112,61609,0,0
600,face,3,143291,0,1440,11957,48770,0,0
600,face,3,325505,0,1133,12268,55025,0,0
600,face,3,300577,0,1040,12156,53665,0,0
600,face,3,301440,0,1312,12166,65631,0,0
600,face,3,294821,0,1220,12112,61220,0,0
600,face,3,306769,0,1248,12159,63107,0,0
700,face,3,266359,0,1246,12128,63450,0,0
700,face,3,309036,0,1242,12112,60378,0,0
700,face,3,313200,0,1122,12237,56769,0,0
700,face,3,374936,0,1313,12125,65368,0,0
700,face,3,300273,0,1193,12126,62154,0,0
700,face,3,309782,0,1524,12113,66552,0,0
700,face,3,319065,0,1262,12193,66662,0,0
700,face,3,138527,0,1837,11958,51279,0,0
700,face,3,310364,0,1240,12179,61709,0,0
700,face,3,327857,0,1316,12180,66031,0,0
800,face,3,306950,0,1313,12111,62207,0,0
800,face,3,412780,0,1762,12217,72179,0,0
800,face,3,328814,0,1342,12189,63969,0,0
800,face,3,287089,0,1228,12152,62139,0,0
800,face,3,418389,0,1815,12045,77621,0,0
800,face,3,323343,0,1270,12189,64024,0,0
800,face,3,330035,0,1432,12166,64345,0,0
800,face,3,363903,0,1856,12356,77634,0,0
800,face,3,330373,0,1256,12152,67663,0,0
800,face,3,313610,0,996,12000,53187,0,0
900,face,3,324187,0,1276,12192,65084,0,0
900,face,3,297197,0,1247,12126,60027,0,0
900,face,3,314098,0,1249,12158,61659,0,0
900,face,3,308203,0,1298,12189,65116,0,0
900,face,3,323590,0,1085,12229,57017,0,0
900,face,3,380916,0,1584,12217,77265,0,0
900,face,3,322724,0,1286,12138,64477,0,0
900,face,3,249975,0,1249,12112,58454,0,0
900,face,3,323557,0,1310,12151,61469,0,0
900,face,3,308098,0,1235,12112,58437,0,0
1000,face,3,296400,0,1243,12116,58919,0,0
1000,face,3,339934,0,1290,12190,62320,0,0
1000,face,3,331052,0,1382,12209,63613,0,0
1000,face,3,283436,0,1213,12125,61371,0,0
1000,face,3,305067,0,1268,12153,60095,0,0
1000,face,3,272006,0,1277,12168,62060,0,0
1000,face,3,318901,0,1301,12203,66561,0,0
1000,face,3,318973,0,1229,12125,62305,0,0
1000,face,3,335655,0,1089,12268,62139,0,0
