workload,function,version,elapsed_time,perf_thread_page_fault,perf_thread_cache_misses,perf_thread_instructions,perf:thread:cpu-cycles,perf:thread:cycles,perf:thread:context-switches
100,face,3,339879,0,1475,12116,64220,0,0
100,face,3,325324,0,1293,12154,66486,0,0
100,face,3,326984,0,1365,12170,67560,0,0
100,face,3,312823,0,1303,12203,66482,0,0
100,face,3,316389,0,1210,12153,62036,0,0
100,face,3,326356,0,1385,12129,64177,0,0
100,face,3,307741,0,1280,12157,61024,0,0
100,face,3,319630,0,1309,12190,60827,0,0
100,face,3,361919,0,1435,12344,94440,0,0
100,face,3,327161,0,1315,12204,66446,0,0
200,face,3,274503,0,968,12165,52229,0,0
200,face,3,307200,0,1083,12159,57613,0,0
200,face,3,313735,0,1310,12168,60197,0,0
