workload,function,version,elapsed time,perf_thread_page_fault,perf_thread_cache_misses,perf_thread_instructions
1,fib,3,95817,0,438,3425
2,fib,3,120009,0,430,3427
3,fib,3,112854,0,410,3429
4,fib,3,121603,0,403,3424
5,fib,3,102733,0,417,3425
6,fib,3,93319,0,412,3425
7,fib,3,109851,0,439,3423
8,fib,3,109800,0,425,3425
9,fib,3,115911,0,515,3424
10,fib,3,97186,0,409,3427
11,fib,3,131835,0,433,3425
12,fib,3,106020,0,415,3424
13,fib,3,87214,0,419,3429
14,fib,3,106878,0,420,3429
15,fib,3,106346,0,459,3425
16,fib,3,98890,0,400,3420
17,fib,3,102337,0,420,3425
18,fib,3,106719,0,443,3425
19,fib,3,102012,0,412,3416
20,fib,3,108826,0,445,3429
21,fib,3,111897,0,442,3423
22,fib,3,112322,0,438,3425
23,fib,3,108115,0,434,3425
24,fib,3,106619,0,391,3429
25,fib,3,100212,0,396,3420
26,fib,3,109113,0,439,3425
27,fib,3,88188,0,421,3427
28,fib,3,100804,0,404,3429
29,fib,3,102100,0,411,3425
30,fib,3,105128,0,387,3429
31,fib,3,112868,0,444,3420
32,fib,3,101204,0,400,3425
33,fib,3,100912,0,416,3423
34,fib,3,110385,0,482,3425
35,fib,3,109934,0,416,3424
36,fib,3,114074,0,414,3427
37,fib,3,111060,0,432,3425
38,fib,3,98849,0,398,3427
39,fib,3,99416,0,436,3429
40,fib,3,112648,0,458,3420
41,fib,3,111340,0,425,3418
42,fib,3,116416,0,432,3429
43,fib,3,99649,0,399,3429
44,fib,3,87279,0,430,3425
45,fib,3,128313,0,449,3425
46,fib,3,112425,0,436,3423
47,fib,3,105272,0,375,3427
48,fib,3,104798,0,450,3425
49,fib,3,102368,0,383,3429
50,fib,3,100390,0,431,3425
51,fib,3,107177,0,424,3425
52,fib,3,114833,0,436,3425
53,fib,3,101369,0,386,3415
54,fib,3,100773,0,422,3422
55,fib,3,107069,0,405,3425
56,fib,3,159220,0,549,3572
57,fib,3,121151,0,427,3425
58,fib,3,90374,0,404,3427
59,fib,3,111405,0,415,3429
60,fib,3,103211,0,426,3425
61,fib,3,105349,0,444,3420
62,fib,3,116672,0,424,3425
63,fib,3,101315,0,446,3422
64,fib,3,99196,0,384,3427
65,fib,3,124252,0,443,3429
66,fib,3,102530,0,423,3420
67,fib,3,109330,0,434,3425
