workload,function,version,elapsed_time,perf_thread_page_fault,perf_thread_cache_misses,perf_thread_instructions,perf:thread:cpu-cycles,perf:thread:cycles,perf:thread:context-switches
100,hough,3,253317,0,808,7017,30388,0,0
100,hough,3,232785,0,802,7047,32001,0,0
100,hough,3,187488,0,789,6994,29191,0,0
100,hough,3,176632,0,701,6973,29878,0,0
100,hough,3,232845,0,796,7033,34796,0,0
200,hough,3,170377,0,762,6978,29641,0,0
200,hough,3,227250,0,854,7038,34342,0,0
200,hough,3,203285,0,796,7065,35129,0,0
200,hough,3,173184,0,743,6978,30455,0,0
200,hough,3,203173,0,813,7017,33838,0,0
300,hough,3,208246,0,714,6980,32613,0,0
300,hough,3,214292,0,790,7017,32099,0,0
300,hough,3,188225,0,750,6980,30924,0,0
300,hough,3,250343,0,932,7019,33004,0,0
300,hough,3,217964,0,795,7007,30514,0,0
400,hough,3,165801,0,688,6980,29014,0,0
400,hough,3,155998,0,711,6994,29729,0,0
400,hough,3,166867,0,728,6996,32148,0,0
400,hough,3,186753,0,737,6992,31360,0,0
400,hough,3,199185,0,800,7021,30629,0,0
500,hough,3,237225,0,831,7006,36026,0,0
500,hough,3,187508,0,738,6980,31324,0,0
500,hough,3,186414,0,764,6992,30800,0,0
500,hough,3,182659,0,716,6980,30646,0,0
500,hough,3,241659,0,1079,7065,39707,0,0
600,hough,3,172399,0,722,6978,29305,0,0
600,hough,3,177193,0,693,6978,30774,0,0
600,hough,3,174564,0,714,6982,28580,0,0
600,hough,3,173049,0,715,7019,29220,0,0
600,hough,3,153886,0,686,7019,30619,0,0
700,hough,3,180584,0,733,6994,30687,0,0
700,hough,3,204865,0,814,7017,29743,0,0
700,hough,3,213795,0,937,7007,35541,0,0
700,hough,3,194788,0,909,7021,31767,0,0
700,hough,3,183349,0,750,6980,29150,0,0
800,hough,3,169880,0,708,7019,29281,0,0
800,hough,3,200171,0,868,6980,30928,0,0
800,hough,3,201635,0,697,6994,27730,0,0
800,hough,3,177972,0,702,6978,31513,0,0
800,hough,3,153063,0,758,7035,31019,0,0
900,hough,3,184156,0,787,7031,30241,0,0
900,hough,3,218053,0,798,7045,33640,0,0
900,hough,3,186366,0,759,6992,30916,0,0
900,hough,3,208527,0,764,6980,30456,0,0
900,hough,3,168559,0,731,7012,31775,0,0
1000,hough,3,214195,0,798,7070,31137,0,0
1000,hough,3,241082,0,856,7065,31432,0,0
1000,hough,3,189654,0,725,6994,32548,0,0
1000,hough,3,215417,0,813,7017,31521,0,0
1000,hough,3,198006,0,911,7104,34747,0,0
