workload,function,version,elapsed time,perf_thread_page_fault,perf_thread_cache_misses,perf_thread_instructions
100,display,3,184807,0,335,3449
100,display,3,171481,0,467,3454
100,display,3,157320,0,471,3460
100,display,3,133102,0,477,3456
100,display,3,184835,0,504,3451
100,display,3,154692,0,434,3456
100,display,3,313690,0,354,3456
100,display,3,172887,0,548,3461
100,display,3,165252,0,469,3456
100,display,3,180442,0,459,3456
100,display,3,140769,0,465,3456
100,display,3,83536,0,413,3454
100,display,3,105092,0,425,3455
100,display,3,125189,0,447,3458
100,display,3,172288,0,327,3446
100,display,3,135988,0,506,3446
100,display,3,151455,0,485,3451
100,display,3,137410,0,425,3460
100,display,3,92308,0,418,3456
100,display,3,120775,0,441,3460
100,display,3,250531,0,589,3612
100,display,3,147947,0,469,3454
100,display,3,192532,0,498,3456
100,display,3,429696,0,412,3402
100,display,3,155129,0,464,3460
100,display,3,178403,0,544,3456
100,display,3,150958,0,504,3460
100,display,3,154786,0,500,3456
100,display,3,150699,0,476,3455
100,display,3,162640,0,493,3456
100,display,3,154124,0,458,3455
100,display,3,230974,0,442,3451
100,display,3,139881,0,463,3454
100,display,3,178548,0,524,3606
100,display,3,175517,0,522,3455
100,display,3,140032,0,440,3454
100,display,3,148975,0,398,3458
100,display,3,239916,0,556,3455
100,display,3,171560,0,591,3460
100,display,3,227952,0,491,3456
100,display,3,138249,0,459,3456
100,display,3,224375,0,457,3454
100,display,3,125101,0,453,3449
100,display,3,215249,0,455,3456
100,display,3,85935,0,443,3455
100,display,3,107520,0,443,3456
100,display,3,199335,0,500,3457
100,display,3,143336,0,441,3456
100,display,3,176435,0,523,3455
100,display,3,155404,0,471,3460
100,display,3,170435,0,463,3460
100,display,3,138402,0,403,3460
100,display,3,235589,0,480,3455
100,display,3,185411,0,468,3456
100,display,3,140575,0,454,3456
100,display,3,189143,0,448,3454
100,display,3,206505,0,494,3460
100,display,3,138910,0,417,3451
100,display,3,144071,0,488,3456
100,display,3,143909,0,422,3456
100,display,3,196090,0,446,3454
100,display,3,154284,0,436,3455
100,display,3,132132,0,444,3451
