workload,function,version,elapsed time,perf_thread_page_fault,perf_thread_cache_misses,perf_thread_instructions
100,display,3,64297,0,394,3454
100,display,3,162401,0,519,3609
100,display,3,69719,0,398,3456
100,display,3,96688,0,420,3457
100,display,3,90264,0,426,3457
100,display,3,103648,0,419,3459
100,display,3,102483,0,409,3455
100,display,3,111060,0,441,3461
100,display,3,86915,0,385,3457
100,display,3,106892,0,389,3461
100,display,3,94320,0,402,3455
100,display,3,93529,0,395,3455
100,display,3,116443,0,445,3456
100,display,3,102349,0,412,3452
100,display,3,107037,0,397,3457
100,display,3,92158,0,426,3456
100,display,3,102682,0,429,3461
100,display,3,70937,0,419,3461
100,display,3,101031,0,459,3452
100,display,3,95863,0,439,3456
100,display,3,89194,0,417,3461
100,display,3,96699,0,413,3456
100,display,3,111653,0,415,3457
100,display,3,105375,0,441,3455
100,display,3,93278,0,409,3455
100,display,3,99182,0,411,3461
100,display,3,88061,0,401,3455
100,display,3,106324,0,435,3451
100,display,3,80868,0,528,3455
100,display,3,94853,0,438,3455
100,display,3,104451,0,434,3461
100,display,3,92118,0,400,3457
100,display,3,98856,0,403,3456
100,display,3,98854,0,397,3461
100,display,3,93499,0,421,3452
100,display,3,108302,0,454,3461
100,display,3,98425,0,413,3455
100,display,3,105954,0,423,3459
100,display,3,88936,0,396,3459
100,display,3,95913,0,405,3456
100,display,3,98396,0,426,3457
100,display,3,118744,0,435,3455
100,display,3,94454,0,396,3461
100,display,3,107689,0,413,3454
100,display,3,89125,0,402,3457
100,display,3,90765,0,433,3461
100,display,3,98791,0,431,3457
100,display,3,108070,0,405,3456
100,display,3,91806,0,396,3459
100,display,3,90476,0,413,3457
100,display,3,65667,0,392,3454
100,display,3,93734,0,365,3455
100,display,3,107595,0,419,3457
100,display,3,89140,0,411,3457
100,display,3,83411,0,383,3459
100,display,3,114789,0,426,3457
100,display,3,87545,0,375,3455
100,display,3,94969,0,412,3459
100,display,3,90541,0,394,3456
100,display,3,97225,0,427,3461
100,display,3,91164,0,395,3450
100,display,3,107689,0,394,3461
100,display,3,94404,0,411,3455
100,display,3,123010,0,445,3455
100,display,3,86220,0,423,3457
100,display,3,93086,0,421,3457
100,display,3,67613,0,398,3456
100,display,3,118051,0,456,3457
100,display,3,69181,0,388,3454
100,display,3,89712,0,403,3461
100,display,3,96439,0,410,3457
100,display,3,101096,0,453,3455
100,display,3,123926,0,421,3459
100,display,3,94480,0,435,3459
100,display,3,98551,0,460,3457
100,display,3,103340,0,411,3452
100,display,3,91674,0,414,3457
100,display,3,95309,0,432,3461
100,display,3,90658,0,422,3457
100,display,3,90334,0,417,3457
100,display,3,111538,0,448,3456
100,display,3,101872,0,404,3461
100,display,3,89716,0,403,3456
100,display,3,88777,0,383,3457
100,display,3,104460,0,423,3461
100,display,3,101891,0,444,3455
100,display,3,95607,0,423,3455
100,display,3,87128,0,399,3461
100,display,3,103273,0,438,3456
100,display,3,88743,0,385,3452
100,display,3,91556,0,431,3457
100,display,3,87481,0,382,3457
100,display,3,91642,0,391,3457
100,display,3,90165,0,425,3455
100,display,3,90564,0,410,3457
100,display,3,93649,0,420,3457
100,display,3,102495,0,401,3457
100,display,3,100000,0,424,3457
100,display,3,89405,0,427,3457
100,display,3,97803,0,403,3461
200,display,3,110190,0,424,3455
200,display,3,100367,0,443,3455
200,display,3,123395,0,451,3461
200,display,3,96182,0,437,3455
200,display,3,104901,0,392,3457
200,display,3,91330,0,463,3459
200,display,3,114532,0,479,3458
200,display,3,100176,0,459,3461
200,display,3,70378,0,402,3456
200,display,3,104547,0,407,3457
200,display,3,104676,0,419,3450
200,display,3,95849,0,469,3457
200,display,3,99700,0,410,3459
200,display,3,93979,0,403,3455
200,display,3,102900,0,430,3461
200,display,3,112946,0,414,3452
200,display,3,93495,0,415,3455
200,display,3,87614,0,417,3461
200,display,3,105208,0,423,3459
200,display,3,90430,0,385,3452
200,display,3,79275,0,432,3455
200,display,3,106566,0,411,3455
200,display,3,90291,0,387,3454
200,display,3,117510,0,464,3461
200,display,3,91516,0,397,3461
200,display,3,106992,0,432,3448
200,display,3,93171,0,411,3452
200,display,3,96959,0,411,3457
200,display,3,94231,0,432,3457
200,display,3,95690,0,464,3457
200,display,3,80467,0,560,3455
200,display,3,98382,0,431,3457
200,display,3,94881,0,390,3457
200,display,3,89640,0,408,3459
200,display,3,97013,0,417,3461
200,display,3,101752,0,416,3455
200,display,3,96917,0,430,3457
200,display,3,96991,0,417,3461
200,display,3,95064,0,417,3447
200,display,3,110781,0,443,3455
200,display,3,112812,0,404,3457
200,display,3,89893,0,401,3461
200,display,3,104741,0,418,3455
200,display,3,87951,0,408,3455
200,display,3,99269,0,415,3457
200,display,3,94675,0,419,3457
200,display,3,113919,0,455,3459
200,display,3,102973,0,425,3461
200,display,3,90075,0,377,3459
200,display,3,110534,0,474,3456
200,display,3,110149,0,444,3461
200,display,3,95873,0,421,3457
200,display,3,89603,0,387,3457
200,display,3,99597,0,419,3455
200,display,3,117730,0,457,3457
200,display,3,88492,0,400,3457
200,display,3,59918,0,398,3460
200,display,3,101346,0,404,3459
200,display,3,102981,0,415,3457
200,display,3,91094,0,441,3456
200,display,3,83447,0,433,3457
200,display,3,88681,0,391,3455
200,display,3,110058,0,418,3455
200,display,3,115851,0,429,3455
200,display,3,99973,0,416,3457
200,display,3,105969,0,412,3457
200,display,3,88909,0,389,3455
200,display,3,101834,0,416,3455
