workload,function,version,elapsed time,perf_thread_page_fault,perf_thread_cache_misses,perf_thread_instructions
100,display,3,163966,0,442,3454
100,display,3,116775,0,466,3456
100,display,3,302110,0,356,3460
100,display,3,128059,0,446,3451
100,display,3,181390,0,517,3456
100,display,3,145414,0,451,3451
100,display,3,61730,0,422,3454
100,display,3,439637,0,457,3456
100,display,3,141506,0,308,3455
100,display,3,143142,0,462,3456
100,display,3,179682,0,598,3608
100,display,3,157556,0,431,3460
100,display,3,146665,0,455,3460
100,display,3,144678,0,327,3460
100,display,3,158946,0,526,3461
100,display,3,120559,0,463,3460
100,display,3,114876,0,492,3449
100,display,3,182761,0,470,3456
100,display,3,157830,0,507,3455
100,display,3,169796,0,509,3454
100,display,3,175028,0,464,3456
100,display,3,179690,0,472,3460
100,display,3,170428,0,459,3460
100,display,3,183367,0,441,3454
100,display,3,205234,0,438,3456
100,display,3,124291,0,435,3456
100,display,3,188627,0,438,3456
100,display,3,142923,0,429,3449
100,display,3,180927,0,466,3451
100,display,3,180975,0,496,3455
100,display,3,211387,0,470,3456
100,display,3,185270,0,445,3460
100,display,3,127194,0,445,3454
100,display,3,238339,0,473,3456
100,display,3,187986,0,344,3446
100,display,3,197986,0,427,3458
100,display,3,183488,0,506,3456
100,display,3,147786,0,464,3454
100,display,3,152833,0,431,3460
100,display,3,169693,0,478,3455
100,display,3,168967,0,512,3456
100,display,3,208422,0,558,3608
100,display,3,164634,0,485,3454
100,display,3,187274,0,455,3455
100,display,3,140276,0,447,3460
100,display,3,170710,0,442,3456
100,display,3,273186,0,504,3454
100,display,3,381210,0,470,3458
100,display,3,146446,0,453,3456
100,display,3,174159,0,611,3455
100,display,3,549107,0,502,3457
100,display,3,120127,0,504,3453
100,display,3,141979,0,464,3460
100,display,3,154165,0,434,3456
100,display,3,149676,0,460,3460
100,display,3,146554,0,417,3460
100,display,3,173277,0,439,3456
100,display,3,159794,0,468,3460
100,display,3,218056,0,467,3454
100,display,3,156978,0,491,3456
100,display,3,102358,0,514,3456
100,display,3,185999,0,484,3457
100,display,3,213870,0,607,3610
100,display,3,148707,0,458,3454
100,display,3,204666,0,500,3460
100,display,3,139537,0,441,3460
100,display,3,127078,0,465,3454
100,display,3,174614,0,483,3460
100,display,3,116120,0,509,3455
100,display,3,247263,0,518,3451
100,display,3,155869,0,490,3456
100,display,3,132363,0,461,3460
100,display,3,174737,0,453,3458
100,display,3,150514,0,437,3458
100,display,3,227176,0,456,3456
100,display,3,183092,0,489,3456
100,display,3,136208,0,450,3456
100,display,3,150514,0,464,3456
100,display,3,153119,0,456,3454
100,display,3,141070,0,439,3456
100,display,3,187881,0,438,3454
100,display,3,155534,0,465,3454
100,display,3,156056,0,466,3447
100,display,3,231936,0,496,3456
100,display,3,127695,0,462,3456
100,display,3,175070,0,343,3456
100,display,3,168969,0,487,3454
100,display,3,119990,0,486,3456
100,display,3,150400,0,444,3460
100,display,3,115903,0,482,3454
100,display,3,178743,0,457,3460
100,display,3,129633,0,407,3458
100,display,3,144748,0,324,3458
100,display,3,120171,0,459,3456
100,display,3,163362,0,462,3456
100,display,3,200233,0,468,3454
100,display,3,173067,0,491,3455
100,display,3,231119,0,484,3454
100,display,3,135054,0,460,3456
100,display,3,187196,0,450,3454
200,display,3,177334,0,582,3450
200,display,3,137429,0,440,3456
200,display,3,201298,0,465,3455
200,display,3,164035,0,456,3451
200,display,3,169052,0,525,3455
200,display,3,148954,0,452,3460
200,display,3,196635,0,424,3449
200,display,3,191931,0,435,3460
200,display,3,268011,0,506,3454
200,display,3,183105,0,456,3456
200,display,3,152279,0,362,3455
200,display,3,136986,0,481,3455
200,display,3,127123,0,444,3454
200,display,3,129544,0,445,3454
200,display,3,175104,0,486,3454
200,display,3,226529,0,503,3456
200,display,3,179174,0,455,3456
200,display,3,147982,0,414,3460
200,display,3,197683,0,295,3455
200,display,3,136934,0,447,3455
200,display,3,136665,0,441,3460
200,display,3,542409,0,441,3458
200,display,3,143923,0,448,3454
200,display,3,140744,0,444,3456
200,display,3,150304,0,450,3458
200,display,3,192864,0,453,3456
200,display,3,236518,0,454,3456
200,display,3,245429,0,515,3460
200,display,3,133241,0,421,3460
200,display,3,160963,0,442,3454
200,display,3,248896,0,492,3456
200,display,3,195036,0,492,3458
200,display,3,167658,0,458,3458
200,display,3,149373,0,464,3456
200,display,3,84107,0,433,3454
200,display,3,150822,0,450,3460
200,display,3,159564,0,574,3460
200,display,3,129270,0,446,3454
200,display,3,183464,0,456,3454
200,display,3,183776,0,453,3460
200,display,3,205370,0,347,3455
200,display,3,159607,0,466,3456
200,display,3,241906,0,472,3456
200,display,3,108110,0,418,3460
200,display,3,417198,0,503,3456
200,display,3,224221,0,458,3451
200,display,3,158052,0,338,3453
200,display,3,145789,0,454,3456
200,display,3,109468,0,417,3456
200,display,3,120103,0,416,3456
200,display,3,190112,0,524,3455
200,display,3,150771,0,491,3456
200,display,3,124663,0,453,3458
200,display,3,137413,0,441,3456
200,display,3,137264,0,447,3456
200,display,3,151884,0,433,3460
200,display,3,164202,0,469,3454
200,display,3,199050,0,453,3454
200,display,3,140878,0,476,3456
200,display,3,138930,0,442,3458
200,display,3,244286,0,505,3455
200,display,3,171195,0,447,3458
200,display,3,182046,0,500,3458
200,display,3,177018,0,514,3460
200,display,3,121452,0,449,3456
200,display,3,189051,0,558,3456
200,display,3,152818,0,490,3454
200,display,3,137690,0,446,3455
200,display,3,100004,0,448,3453
200,display,3,167087,0,456,3460
200,display,3,229469,0,481,3456
200,display,3,168017,0,504,3455
200,display,3,135188,0,464,3456
200,display,3,174587,0,440,3446
200,display,3,132391,0,444,3456
200,display,3,139942,0,321,3451
200,display,3,145987,0,448,3454
200,display,3,248385,0,477,3456
200,display,3,208528,0,445,3454
200,display,3,153549,0,425,3456
200,display,3,140900,0,445,3454
200,display,3,162781,0,419,3456
200,display,3,134007,0,477,3456
