[18:39:41.065808978] (+0.003405441) frank-desktop kmem_cache_alloc: { cpu_id = 3 }, { call_site = 0xFFFFFFFF81219999, ptr = 0xFFFF880394E7D6C0, bytes_req = 192, bytes_alloc = 192, gfp_flags = 208 }
[18:39:41.065810283] (+0.000001305) frank-desktop kmem_cache_alloc: { cpu_id = 3 }, { call_site = 0xFFFFFFFF8120203C, ptr = 0xFFFF88017D2F5200, bytes_req = 256, bytes_alloc = 256, gfp_flags = 32976 }
[18:39:41.065817568] (+0.000007285) frank-desktop kmem_cache_alloc: { cpu_id = 3 }, { call_site = 0xFFFFFFFF811BE015, ptr = 0xFFFF88056A93CC00, bytes_req = 192, bytes_alloc = 192, gfp_flags = 32976 }
[18:39:41.065824226] (+0.000006658) frank-desktop kmem_cache_alloc: { cpu_id = 1 }, { call_site = 0xFFFFFFFF81219999, ptr = 0xFFFF880394E54480, bytes_req = 192, bytes_alloc = 192, gfp_flags = 208 }
[18:39:41.065829373] (+0.000005147) frank-desktop kmem_cache_alloc: { cpu_id = 1 }, { call_site = 0xFFFFFFFF8120203C, ptr = 0xFFFF88000FD07400, bytes_req = 256, bytes_alloc = 256, gfp_flags = 32976 }
[18:39:41.065832046] (+0.000002673) frank-desktop kmem_cache_alloc: { cpu_id = 3 }, { call_site = 0xFFFFFFFF81219999, ptr = 0xFFFF880394E7D3C0, bytes_req = 192, bytes_alloc = 192, gfp_flags = 208 }
[18:39:41.065832772] (+0.000000726) frank-desktop kmem_cache_alloc: { cpu_id = 3 }, { call_site = 0xFFFFFFFF8120203C, ptr = 0xFFFF88017D2F5700, bytes_req = 256, bytes_alloc = 256, gfp_flags = 32976 }
[18:39:41.065836375] (+0.000003603) frank-desktop kmem_cache_alloc: { cpu_id = 1 }, { call_site = 0xFFFFFFFF811BE015, ptr = 0xFFFF88056A60F000, bytes_req = 192, bytes_alloc = 192, gfp_flags = 32976 }
[18:39:41.065842309] (+0.000005934) frank-desktop kmem_cache_alloc: { cpu_id = 3 }, { call_site = 0xFFFFFFFF811BE015, ptr = 0xFFFF88056A93CCC0, bytes_req = 192, bytes_alloc = 192, gfp_flags = 32976 }
[18:39:41.065848766] (+0.000006457) frank-desktop kmem_cache_alloc: { cpu_id = 4 }, { call_site = 0xFFFFFFFF812492EE, ptr = 0xFFFF8801B7B39700, bytes_req = 128, bytes_alloc = 128, gfp_flags = 208 }
[18:39:41.065849372] (+0.000000606) frank-desktop kmem_cache_alloc: { cpu_id = 3 }, { call_site = 0xFFFFFFFF81219999, ptr = 0xFFFF880394E7DB40, bytes_req = 192, bytes_alloc = 192, gfp_flags = 208 }
[18:39:41.065849998] (+0.000000626) frank-desktop kmem_cache_alloc: { cpu_id = 3 }, { call_site = 0xFFFFFFFF8120203C, ptr = 0xFFFF88017D2F4C00, bytes_req = 256, bytes_alloc = 256, gfp_flags = 32976 }
[18:39:41.065850252] (+0.000000254) frank-desktop kmem_cache_alloc: { cpu_id = 4 }, { call_site = 0xFFFFFFFF81247AE1, ptr = 0xFFFF8804045A1048, bytes_req = 72, bytes_alloc = 72, gfp_flags = 208 }
[18:39:41.065854577] (+0.000004325) frank-desktop kmem_cache_alloc: { cpu_id = 3 }, { call_site = 0xFFFFFFFF811BE015, ptr = 0xFFFF88056A93C780, bytes_req = 192, bytes_alloc = 192, gfp_flags = 32976 }
[18:39:41.065860761] (+0.000006184) frank-desktop kmem_cache_alloc: { cpu_id = 3 }, { call_site = 0xFFFFFFFF81219999, ptr = 0xFFFF880394E7DD80, bytes_req = 192, bytes_alloc = 192, gfp_flags = 208 }
[18:39:41.065861280] (+0.000000519) frank-desktop kmem_cache_alloc: { cpu_id = 3 }, { call_site = 0xFFFFFFFF8120203C, ptr = 0xFFFF88017D2F4F00, bytes_req = 256, bytes_alloc = 256, gfp_flags = 32976 }
[18:39:41.065866876] (+0.000005596) frank-desktop kmem_cache_alloc: { cpu_id = 3 }, { call_site = 0xFFFFFFFF811BE015, ptr = 0xFFFF88056A93C900, bytes_req = 192, bytes_alloc = 192, gfp_flags = 32976 }
[18:39:41.065872318] (+0.000005442) frank-desktop kmem_cache_alloc: { cpu_id = 3 }, { call_site = 0xFFFFFFFF81219999, ptr = 0xFFFF880394E7DA80, bytes_req = 192, bytes_alloc = 192, gfp_flags = 208 }
[18:39:41.065872812] (+0.000000494) frank-desktop kmem_cache_alloc: { cpu_id = 3 }, { call_site = 0xFFFFFFFF8120203C, ptr = 0xFFFF88017D2F5600, bytes_req = 256, bytes_alloc = 256, gfp_flags = 32976 }
[18:39:41.065879695] (+0.000006883) frank-desktop kmem_cache_alloc: { cpu_id = 3 }, { call_site = 0xFFFFFFFF811BE015, ptr = 0xFFFF88056A93C0C0, bytes_req = 192, bytes_alloc = 192, gfp_flags = 32976 }
[18:39:41.065886274] (+0.000006579) frank-desktop kmem_cache_alloc: { cpu_id = 3 }, { call_site = 0xFFFFFFFF81219999, ptr = 0xFFFF880394E7D540, bytes_req = 192, bytes_alloc = 192, gfp_flags = 208 }
[18:39:41.065886956] (+0.000000682) frank-desktop kmem_cache_alloc: { cpu_id = 3 }, { call_site = 0xFFFFFFFF8120203C, ptr = 0xFFFF88017D2F4000, bytes_req = 256, bytes_alloc = 256, gfp_flags = 32976 }
[18:39:41.065888530] (+0.000001574) frank-desktop kmem_cache_alloc: { cpu_id = 3 }, { call_site = 0xFFFFFFFF811BE015, ptr = 0xFFFF88056A93C240, bytes_req = 192, bytes_alloc = 192, gfp_flags = 32976 }
[18:39:41.065897158] (+0.000008628) frank-desktop kmem_cache_alloc: { cpu_id = 3 }, { call_site = 0xFFFFFFFF8120FF56, ptr = 0xFFFF8806E0C88000, bytes_req = 4096, bytes_alloc = 4096, gfp_flags = 208 }
[18:39:41.065900724] (+0.000003566) frank-desktop kmem_cache_alloc: { cpu_id = 3 }, { call_site = 0xFFFFFFFF8120FF56, ptr = 0xFFFF8806E0C88000, bytes_req = 4096, bytes_alloc = 4096, gfp_flags = 208 }
[18:39:41.065901878] (+0.000001154) frank-desktop kmem_cache_alloc: { cpu_id = 3 }, { call_site = 0xFFFFFFFF8120FF56, ptr = 0xFFFF8806E0C88000, bytes_req = 4096, bytes_alloc = 4096, gfp_flags = 208 }
[18:39:41.065903072] (+0.000001194) frank-desktop kmem_cache_alloc: { cpu_id = 3 }, { call_site = 0xFFFFFFFF8120FF56, ptr = 0xFFFF8806E0C88000, bytes_req = 4096, bytes_alloc = 4096, gfp_flags = 208 }
[18:39:41.065904608] (+0.000001536) frank-desktop kmem_cache_alloc: { cpu_id = 3 }, { call_site = 0xFFFFFFFF8120FF56, ptr = 0xFFFF8806E0C88000, bytes_req = 4096, bytes_alloc = 4096, gfp_flags = 208 }
[18:39:41.065908123] (+0.000003515) frank-desktop kmem_cache_alloc: { cpu_id = 3 }, { call_site = 0xFFFFFFFF8120FF56, ptr = 0xFFFF8806E0C88000, bytes_req = 4096, bytes_alloc = 4096, gfp_flags = 208 }
[18:39:41.065909649] (+0.000001526) frank-desktop kmem_cache_alloc: { cpu_id = 3 }, { call_site = 0xFFFFFFFF8120FF56, ptr = 0xFFFF8806E0C88000, bytes_req = 4096, bytes_alloc = 4096, gfp_flags = 208 }
[18:39:41.065909960] (+0.000000311) frank-desktop kmem_cache_alloc: { cpu_id = 1 }, { call_site = 0xFFFFFFFF81219999, ptr = 0xFFFF880394E54C00, bytes_req = 192, bytes_alloc = 192, gfp_flags = 208 }
[18:39:41.065910549] (+0.000000589) frank-desktop kmem_cache_alloc: { cpu_id = 1 }, { call_site = 0xFFFFFFFF8120203C, ptr = 0xFFFF88000FD06000, bytes_req = 256, bytes_alloc = 256, gfp_flags = 32976 }
[18:39:41.065913562] (+0.000003013) frank-desktop kmem_cache_alloc: { cpu_id = 3 }, { call_site = 0xFFFFFFFF8120FF56, ptr = 0xFFFF8806E0C88000, bytes_req = 4096, bytes_alloc = 4096, gfp_flags = 208 }
[18:39:41.065914478] (+0.000000916) frank-desktop kmem_cache_alloc: { cpu_id = 3 }, { call_site = 0xFFFFFFFF8120FF56, ptr = 0xFFFF8806E0C88000, bytes_req = 4096, bytes_alloc = 4096, gfp_flags = 208 }
[18:39:41.065915193] (+0.000000715) frank-desktop kmem_cache_alloc: { cpu_id = 3 }, { call_site = 0xFFFFFFFF8120FF56, ptr = 0xFFFF8806E0C88000, bytes_req = 4096, bytes_alloc = 4096, gfp_flags = 208 }
[18:39:41.065915940] (+0.000000747) frank-desktop kmem_cache_alloc: { cpu_id = 3 }, { call_site = 0xFFFFFFFF8120FF56, ptr = 0xFFFF8806E0C88000, bytes_req = 4096, bytes_alloc = 4096, gfp_flags = 208 }
[18:39:41.065917021] (+0.000001081) frank-desktop kmem_cache_alloc: { cpu_id = 1 }, { call_site = 0xFFFFFFFF811BE015, ptr = 0xFFFF88056A60F9C0, bytes_req = 192, bytes_alloc = 192, gfp_flags = 32976 }
[18:39:41.065917076] (+0.000000055) frank-desktop kmem_cache_alloc: { cpu_id = 3 }, { call_site = 0xFFFFFFFF8120FF56, ptr = 0xFFFF8806E0C88000, bytes_req = 4096, bytes_alloc = 4096, gfp_flags = 208 }
[18:39:41.065918014] (+0.000000938) frank-desktop kmem_cache_alloc: { cpu_id = 3 }, { call_site = 0xFFFFFFFF8120FF56, ptr = 0xFFFF8806E0C88000, bytes_req = 4096, bytes_alloc = 4096, gfp_flags = 208 }
[18:39:41.065919311] (+0.000001297) frank-desktop kmem_cache_alloc: { cpu_id = 3 }, { call_site = 0xFFFFFFFF8120FF56, ptr = 0xFFFF8806E0C88000, bytes_req = 4096, bytes_alloc = 4096, gfp_flags = 208 }
[18:39:41.065931048] (+0.000011737) frank-desktop kmem_cache_alloc: { cpu_id = 1 }, { call_site = 0xFFFFFFFF81219999, ptr = 0xFFFF880394E54B40, bytes_req = 192, bytes_alloc = 192, gfp_flags = 208 }
[18:39:41.065931560] (+0.000000512) frank-desktop kmem_cache_alloc: { cpu_id = 1 }, { call_site = 0xFFFFFFFF8120203C, ptr = 0xFFFF88000FD06B00, bytes_req = 256, bytes_alloc = 256, gfp_flags = 32976 }
[18:39:41.065936101] (+0.000004541) frank-desktop kmem_cache_alloc: { cpu_id = 3 }, { call_site = 0xFFFFFFFF8120FF56, ptr = 0xFFFF8806E0C88000, bytes_req = 4096, bytes_alloc = 4096, gfp_flags = 208 }
[18:39:41.065936142] (+0.000000041) frank-desktop kmem_cache_alloc: { cpu_id = 1 }, { call_site = 0xFFFFFFFF811BE015, ptr = 0xFFFF88056A60F3C0, bytes_req = 192, bytes_alloc = 192, gfp_flags = 32976 }
[18:39:41.065937683] (+0.000001541) frank-desktop kmem_cache_alloc: { cpu_id = 3 }, { call_site = 0xFFFFFFFF8120FF56, ptr = 0xFFFF8806E0C88000, bytes_req = 4096, bytes_alloc = 4096, gfp_flags = 208 }
[18:39:41.065938735] (+0.000001052) frank-desktop kmem_cache_alloc: { cpu_id = 3 }, { call_site = 0xFFFFFFFF8120FF56, ptr = 0xFFFF8806E0C88000, bytes_req = 4096, bytes_alloc = 4096, gfp_flags = 208 }
[18:39:41.065939766] (+0.000001031) frank-desktop kmem_cache_alloc: { cpu_id = 3 }, { call_site = 0xFFFFFFFF8120FF56, ptr = 0xFFFF8806E0C88000, bytes_req = 4096, bytes_alloc = 4096, gfp_flags = 208 }
[18:39:41.065940606] (+0.000000840) frank-desktop kmem_cache_alloc: { cpu_id = 3 }, { call_site = 0xFFFFFFFF8120FF56, ptr = 0xFFFF8806E0C88000, bytes_req = 4096, bytes_alloc = 4096, gfp_flags = 208 }
[18:39:41.065941662] (+0.000001056) frank-desktop kmem_cache_alloc: { cpu_id = 3 }, { call_site = 0xFFFFFFFF8120FF56, ptr = 0xFFFF8806E0C88000, bytes_req = 4096, bytes_alloc = 4096, gfp_flags = 208 }
[18:39:41.065942123] (+0.000000461) frank-desktop kmem_cache_alloc: { cpu_id = 1 }, { call_site = 0xFFFFFFFF81219999, ptr = 0xFFFF880394E54900, bytes_req = 192, bytes_alloc = 192, gfp_flags = 208 }
[18:39:41.065942591] (+0.000000468) frank-desktop kmem_cache_alloc: { cpu_id = 1 }, { call_site = 0xFFFFFFFF8120203C, ptr = 0xFFFF88000FD06800, bytes_req = 256, bytes_alloc = 256, gfp_flags = 32976 }
[18:39:41.065944907] (+0.000002316) frank-desktop kmem_cache_alloc: { cpu_id = 3 }, { call_site = 0xFFFFFFFF8120FF56, ptr = 0xFFFF8806E0C88000, bytes_req = 4096, bytes_alloc = 4096, gfp_flags = 208 }
[18:39:41.065945679] (+0.000000772) frank-desktop kmem_cache_alloc: { cpu_id = 3 }, { call_site = 0xFFFFFFFF8120FF56, ptr = 0xFFFF8806E0C88000, bytes_req = 4096, bytes_alloc = 4096, gfp_flags = 208 }
[18:39:41.065946878] (+0.000001199) frank-desktop kmem_cache_alloc: { cpu_id = 3 }, { call_site = 0xFFFFFFFF8120FF56, ptr = 0xFFFF8806E0C88000, bytes_req = 4096, bytes_alloc = 4096, gfp_flags = 208 }
[18:39:41.065947949] (+0.000001071) frank-desktop kmem_cache_alloc: { cpu_id = 3 }, { call_site = 0xFFFFFFFF8120FF56, ptr = 0xFFFF8806E0C88000, bytes_req = 4096, bytes_alloc = 4096, gfp_flags = 208 }
[18:39:41.065948151] (+0.000000202) frank-desktop kmem_cache_alloc: { cpu_id = 1 }, { call_site = 0xFFFFFFFF811BE015, ptr = 0xFFFF88056A60FF00, bytes_req = 192, bytes_alloc = 192, gfp_flags = 32976 }
[18:39:41.065949080] (+0.000000929) frank-desktop kmem_cache_alloc: { cpu_id = 3 }, { call_site = 0xFFFFFFFF8120FF56, ptr = 0xFFFF8806E0C88000, bytes_req = 4096, bytes_alloc = 4096, gfp_flags = 208 }
[18:39:41.065949920] (+0.000000840) frank-desktop kmem_cache_alloc: { cpu_id = 3 }, { call_site = 0xFFFFFFFF8120FF56, ptr = 0xFFFF8806E0C88000, bytes_req = 4096, bytes_alloc = 4096, gfp_flags = 208 }
[18:39:41.065950976] (+0.000001056) frank-desktop kmem_cache_alloc: { cpu_id = 3 }, { call_site = 0xFFFFFFFF8120FF56, ptr = 0xFFFF8806E0C88000, bytes_req = 4096, bytes_alloc = 4096, gfp_flags = 208 }
[18:39:41.065954108] (+0.000003132) frank-desktop kmem_cache_alloc: { cpu_id = 1 }, { call_site = 0xFFFFFFFF81219999, ptr = 0xFFFF880394E54840, bytes_req = 192, bytes_alloc = 192, gfp_flags = 208 }
[18:39:41.065954183] (+0.000000075) frank-desktop kmem_cache_alloc: { cpu_id = 3 }, { call_site = 0xFFFFFFFF8120FF56, ptr = 0xFFFF8806E0C88000, bytes_req = 4096, bytes_alloc = 4096, gfp_flags = 208 }
[18:39:41.065954512] (+0.000000329) frank-desktop kmem_cache_alloc: { cpu_id = 1 }, { call_site = 0xFFFFFFFF8120203C, ptr = 0xFFFF88000FD06C00, bytes_req = 256, bytes_alloc = 256, gfp_flags = 32976 }
[18:39:41.065954916] (+0.000000404) frank-desktop kmem_cache_alloc: { cpu_id = 3 }, { call_site = 0xFFFFFFFF8120FF56, ptr = 0xFFFF8806E0C88000, bytes_req = 4096, bytes_alloc = 4096, gfp_flags = 208 }
[18:39:41.065955627] (+0.000000711) frank-desktop kmem_cache_alloc: { cpu_id = 3 }, { call_site = 0xFFFFFFFF8120FF56, ptr = 0xFFFF8806E0C88000, bytes_req = 4096, bytes_alloc = 4096, gfp_flags = 208 }
[18:39:41.065956557] (+0.000000930) frank-desktop kmem_cache_alloc: { cpu_id = 3 }, { call_site = 0xFFFFFFFF8120FF56, ptr = 0xFFFF8806E0C88000, bytes_req = 4096, bytes_alloc = 4096, gfp_flags = 208 }
[18:39:41.065959333] (+0.000002776) frank-desktop kmem_cache_alloc: { cpu_id = 3 }, { call_site = 0xFFFFFFFF8120FF56, ptr = 0xFFFF8806E0C88000, bytes_req = 4096, bytes_alloc = 4096, gfp_flags = 208 }
[18:39:41.065960057] (+0.000000724) frank-desktop kmem_cache_alloc: { cpu_id = 3 }, { call_site = 0xFFFFFFFF8120FF56, ptr = 0xFFFF8806E0C88000, bytes_req = 4096, bytes_alloc = 4096, gfp_flags = 208 }
[18:39:41.065960698] (+0.000000641) frank-desktop kmem_cache_alloc: { cpu_id = 3 }, { call_site = 0xFFFFFFFF8120FF56, ptr = 0xFFFF8806E0C88000, bytes_req = 4096, bytes_alloc = 4096, gfp_flags = 208 }
