3.0.0,,,3.1.0,,,3.2.0,,
face_detection,hough_lines,display_images,face_detection,hough_lines,display_images,face_detection,hough_lines,display_images
98044,3418,49695,103398,3376,29764,94755,3330,59259
94382,3170,50454,100770,3210,30627,106275,3069,59930
101958,3023,50966,100776,3230,31327,100191,2917,60484
102654,3018,51513,96336,3113,32052,93448,2933,61077
101522,3015,52015,105138,3027,32722,99841,2955,61605
99853,3096,52582,96821,3027,33402,99138,2996,62112
111863,3076,53083,103604,3025,34092,98105,3008,62608
100435,3025,53722,106513,3028,34787,88315,3004,63118
94495,3031,54338,98256,3044,35473,105570,2917,63619
102216,3048,54986,97695,3026,36128,100654,2970,64128
113246,3075,55538,94937,3020,36776,96293,3013,64622
98183,3044,56137,102794,3083,37389,104221,2982,65117
98581,3050,56631,92798,3037,37994,104254,2897,65609
101617,3035,57185,96699,3145,38599,107828,2901,66111
103265,3022,57680,93329,3065,39189,96674,2964,66606
91504,3024,58219,106504,3059,39693,94869,2951,67113
88097,3089,58712,107179,3038,40204,96790,2994,67620
99116,3177,59252,91381,3027,40737,96599,3000,68115
93142,3068,59751,94216,3018,41241,96219,3000,68608
102926,3041,60287,93407,3106,41739,95472,3004,69101
103734,3026,60763,95890,3060,42238,111590,2976,69592
101744,3024,61289,91742,3010,42741,100391,2892,70079
88338,3034,61786,97260,3147,43255,93310,2972,70553
106768,3033,62359,94748,3116,43756,107409,2957,71053
98075,3020,62848,96925,3046,44256,88458,2913,71537
99579,3017,63454,101871,3102,44767,108546,2976,72011
96259,3092,63957,95270,3048,45274,94708,2903,72492
105234,3055,64538,93435,3270,45774,93830,2955,72972
99617,3047,65032,101377,3169,46275,91360,2957,73452
96780,3026,65607,104036,3107,46775,93153,2990,73953
98616,3023,66091,105434,3042,47285,100502,3001,74434
101925,3014,66621,97244,3082,47805,86894,2970,74916
100373,3013,67098,108293,3148,48339,91118,2962,75398
105078,3018,67634,103866,3075,48900,94790,2940,75878
109885,3015,68119,112464,3042,49425,104336,2985,76349
103181,3029,68650,106367,3013,49951,114346,3007,76841
94794,3017,69122,100681,3056,50461,108602,2926,77331
110209,3102,69651,95818,3029,50981,104189,2950,77818
98671,3129,70128,112967,3049,51478,103133,2908,78292
107918,3048,70653,105495,3017,51962,89119,3001,78773
102372,3023,71141,102242,3015,52448,89826,3007,79253
105127,3017,71695,108486,3034,52928,89362,2993,79731
101395,3015,72172,112367,3025,53405,91309,2924,80203
98026,3016,72722,103130,3012,53883,92770,2957,80672
107952,3012,73218,109225,3015,54398,91791,2992,81143
100504,3014,73743,96757,3011,54910,96773,2951,81630
98287,3023,74221,97351,3025,55406,96137,2993,82110
99097,3019,74757,97894,3019,55891,94079,2943,82584
94505,3040,75243,104959,3020,56380,90991,2896,83062
109328,3212,75790,107238,3011,56905,98018,2986,83533
98069,3112,76272,105040,3015,57404,97094,2967,84005
104086,3053,76807,101030,3007,57895,91704,3005,84475
112209,3020,77292,99294,3018,58382,101170,2997,84949
110326,3004,77823,98788,3018,58885,94419,2928,85420
97853,3000,78302,113983,3016,59378,92968,3001,85905
102931,3023,78826,97281,3012,59863,104739,3000,86400
110929,3015,79325,96173,3000,60358,93069,2909,86894
103459,3080,79909,93599,2956,60842,95137,2938,87371
103245,3117,80403,102759,3015,61323,105472,2937,87851
105465,3061,80947,96289,2941,61822,98509,2951,88327
101854,3025,81432,101657,2847,62306,89328,2970,88793
102838,3016,81960,101501,3030,62801,97310,3000,89235
98462,3112,82434,98034,3008,63295,93976,2998,89718
101821,3046,83018,96338,3009,63779,92310,2996,90199
105326,3036,83526,100933,3010,64270,91196,2929,90670
105709,3038,84062,100708,3039,64773,107330,2910,91127
95078,3018,84543,97996,2833,65277,95918,2992,91568
99628,3017,85100,103012,3029,65778,98723,2932,92024
99577,3042,85699,102265,2946,66275,103913,2981,92504
101167,3087,86314,114331,2947,66868,97625,2982,92989
94251,3133,86820,104551,2992,67392,101761,2960,93479
102519,3075,87370,97106,2915,67908,89655,2974,93958
108083,3029,87857,102840,2966,68402,98373,3103,94445
104199,3020,88389,104790,3008,68896,109770,3060,94926
105908,3017,88907,92685,3024,69399,108023,2910,95407
106137,3041,89558,96610,2931,69929,91873,2932,95893
102702,3030,90159,112533,3023,70434,103011,2960,96379
102040,3046,90803,105052,2994,70941,95846,2942,96880
100409,3217,91319,95410,2957,71434,105347,3013,97361
98610,3159,91855,100094,2936,71932,102373,2926,97869
103669,3162,92353,103891,2901,72429,92943,2892,98419
104822,3063,92918,99048,2932,72933,96592,2976,98918
98227,3056,93419,102385,3020,73450,102033,3001,99391
106361,3025,93957,103785,3123,73949,101893,3032,99856
97929,2936,94475,118094,3065,74476,105556,3003,100317
106461,3029,95043,102199,3039,75050,109428,2979,100779
99863,3019,95530,104819,3039,75588,89315,2935,101260
101507,3042,96010,111146,3023,76075,91641,2926,101734
97726,3035,96496,95354,3020,76602,105280,2898,102202
105829,3040,96978,103252,3014,77099,100356,2932,102679
97199,2945,97463,92368,3015,77612,99162,2969,103142
105746,3013,97926,98735,3034,78110,100676,2974,103606
100220,3002,98400,100000,3018,78602,106497,2926,104069
102243,3017,98872,98470,3155,79072,93400,2930,104551
103865,3016,99339,97939,3058,79541,94889,3000,105025
104285,3019,99801,107266,3045,80033,95415,3012,105526
105122,3024,100258,105888,3031,80503,97280,2989,106000
95167,3028,100718,103142,3079,80970,97032,2977,106485
106084,3021,101181,102390,3196,81446,108837,3001,106957
96833,3111,101642,101483,3121,81913,91810,3007,107429
101645.18,3050.1,76126.58,101277.19,3038.89,56958.81,98143.28,2970.5,83695.73
